payment_number,year,payment,interest,principle,loan
1,1,2423.73,1793.81,629.92,477720.08
2,1,2423.73,1791.45,632.28,477087.80
3,1,2423.73,1789.08,634.65,476453.15
4,1,2423.73,1786.70,637.03,475816.12
5,1,2423.73,1784.31,639.42,475176.71
6,1,2423.73,1781.91,641.82,474534.89
7,1,2423.73,1779.51,644.22,473890.67
8,1,2423.73,1777.09,646.64,473244.03
9,1,2423.73,1774.67,649.06,472594.96
10,1,2423.73,1772.23,651.50,471943.46
11,1,2423.73,1769.79,653.94,471289.52
12,1,2423.73,1767.34,656.39,470633.13
13,2,2423.73,1764.87,658.85,469974.28
14,2,2423.73,1762.40,661.33,469312.95
15,2,2423.73,1759.92,663.81,468649.14
16,2,2423.73,1757.43,666.29,467982.85
17,2,2423.73,1754.94,668.79,467314.06
18,2,2423.73,1752.43,671.30,466642.75
19,2,2423.73,1749.91,673.82,465968.94
20,2,2423.73,1747.38,676.35,465292.59
21,2,2423.73,1744.85,678.88,464613.71
22,2,2423.73,1742.30,681.43,463932.28
23,2,2423.73,1739.75,683.98,463248.30
24,2,2423.73,1737.18,686.55,462561.75
25,3,2423.73,1734.61,689.12,461872.63
26,3,2423.73,1732.02,691.71,461180.92
27,3,2423.73,1729.43,694.30,460486.62
28,3,2423.73,1726.82,696.90,459789.71
29,3,2423.73,1724.21,699.52,459090.20
30,3,2423.73,1721.59,702.14,458388.06
31,3,2423.73,1718.96,704.77,457683.28
32,3,2423.73,1716.31,707.42,456975.86
33,3,2423.73,1713.66,710.07,456265.79
34,3,2423.73,1711.00,712.73,455553.06
35,3,2423.73,1708.32,715.41,454837.66
36,3,2423.73,1705.64,718.09,454119.57
37,4,2423.73,1702.95,720.78,453398.79
38,4,2423.73,1700.25,723.48,452675.30
39,4,2423.73,1697.53,726.20,451949.11
40,4,2423.73,1694.81,728.92,451220.19
41,4,2423.73,1692.08,731.65,450488.53
42,4,2423.73,1689.33,734.40,449754.14
43,4,2423.73,1686.58,737.15,449016.99
44,4,2423.73,1683.81,739.92,448277.07
